"Sequence",1,2,3,4,5,6,7,8
"Z1",0.6177025626207889,-0.04257237507297583,0.08683400549575471,-6.683122698128277E-5,0.13886041933404755,0.0853697467683957,0.024367060185188447,0.04215033070862998
"Z2",0.5896388881266778,-0.014853981162292739,0.06077502490735897,-0.12191630545571805,0.169335723224892,0.04381632472305502,-0.026025548706906085,0.10218037946043326
"Z3",0.6043609485798903,-0.05118822200773254,0.024414842293155485,-0.04312122476968064,0.18316481665900552,-0.07793843912202605,-0.03503682925135179,0.06810403744136964
"Z4",0.5695289720351411,-0.04460150043454126,0.11310805503395834,-0.07992141018791646,0.032816177992510215,0.01579180325084405,-0.040304998664706625,0.03216814987401386
"Z5",0.5833017829621674,-0.08024369127073896,0.09448251720305349,-0.040045106422775964,0.04649519391800502,0.00399057724921566,-0.09581906539239567,0.06189193898763099
"Z6",0.5718141962003433,0.007169493213103249,0.1506625109392303,-0.05989254520332562,0.05317913666574903,0.04444427271979275,-0.07074963196618934,0.07750168801768086
"Z7",0.5337975002031986,0.013425883273984448,0.05003199576696324,-0.03529948522514883,0.08007887929220676,0.04559834505176898,-0.10313859967903904,0.05631524728288728
"Z8",0.5214036430943098,-0.08309013651344359,0.004776084482185776,-0.009877508784260356,0.08035851999156773,-0.03319590082936774,-0.055609639923975246,-0.003536882265169571
"Z9",0.5650462423463383,-0.010562593444588167,0.17470171472821858,-0.05840470585845598,0.09568725696989058,-0.037551687902769505,0.07251527053299987,0.10791848509608169
"I1",0.5345764057480389,0.0062687980923683455,0.11722943028730473,-0.022981684273689275,0.18287876296770317,0.03911140630584441,0.019492359195242403,0.07971976866394144
"I2",0.5380867209272925,-0.22056199613262545,0.19021794886007554,0.010441357986261893,-0.13300689699450088,-0.041400349028860015,0.013798745451959872,-0.003654700862532374
"I3",0.5171507490222734,-0.0844357914419184,0.21142561997631912,-0.06817069063520927,-0.06297075355032537,-0.06707340750783668,-0.0093020878130242,-0.02094764105019645
"I4",0.5319723743688304,-0.032194221105592134,0.19928291306173632,-0.0067031980326733576,-0.09639245050256535,0.04756277768863188,-0.08580551640482678,-0.07890689267559346
"I5",0.5154223502622517,-0.08609540104009668,0.27134081754308087,0.02233915581026392,-0.013168654659558533,-0.04278794094335657,0.005365031976809648,0.03140560768952518
"I6",0.5036902703443861,-0.13490473412141543,0.283369701158293,0.024894089642316857,-0.14636988461985223,-0.0440536157220469,-0.07108530881137626,-0.0883306700516703
"I7",0.4895259311731563,-0.18332626386490555,0.28464554239374584,-0.024883268441396503,-0.02163467715700301,-0.047743579284754985,-0.05312372147172293,-0.07809049843660344
"I8",0.4808796874546267,-0.13674555595965923,0.30671708552056043,-0.0382802468100652,-0.051756842723711255,0.07870763942465842,0.1219759863612639,-0.02981856646430327
"I9",0.5331687751032095,-0.19909938343334524,0.20960163619829847,1.7912466840180625E-4,-0.12685684844906028,0.07462201348931082,0.0676291994365683,0.018377785102182558
"I10",0.5123542905814885,-0.15351742849894714,0.31490221254026723,-0.022483885086948208,-0.1494372095285298,-0.003336471112719743,-0.004778152938742401,-0.001475543441470005
"I11",0.49256451243479693,-0.1325512913355175,0.22865211665077737,0.01647014874104995,-0.16406283383429998,0.08888547478759404,0.021465317209113773,-0.0514705075830539
"I12",0.5544726228259305,-0.11356325504880335,0.23662838374801629,0.04556146079830736,-0.06728839659694599,0.027933053853113485,-0.012487312284775174,-0.017064852895153915
"I13",0.4996517964429781,-0.11506779641642415,0.21592523784432777,-0.028404995190692263,-0.12211866819590046,0.04303982116031791,-0.013656547928348936,-0.06591203517017483
"I14",0.5790341680334358,-0.001251685576030905,0.03007723007300597,-0.04076683546271693,0.11676881987869056,-0.023881033913135837,0.09741525708153217,0.0804252961068515
"I15",0.5748976516477142,-0.11910221732676197,0.09654835563734535,-0.08136668565032446,0.12048491018621188,4.440250132899284E-5,0.0065363320920348265,0.036614699021298894
"I16",0.5817036758962457,-0.020320710866678072,-0.00813218012624191,-0.011592284992590535,0.17503688228590533,0.06627568891946328,0.03345999628346222,0.12286182015979451
"I17",0.5336521453779536,-0.05505810794747705,0.12602914931374226,0.055776968666198905,-0.007437881067272918,-0.03445632911446072,0.018909729484988612,-0.07308949112175808
"I18",0.5608364885809599,-0.11202989368747966,0.0903411360226723,-0.08038383108956015,0.03945193472396414,-0.021845628332483498,0.06544644875217383,0.005718070695353645
"I19",0.5952065058207568,0.0057181590332324944,-0.05260636574402504,-0.02950331139112477,0.11398265285199027,-0.02374931694739865,-0.009459312017207122,0.04039956844996399
"I26",0.5261691629987585,-0.08517065830802206,0.0963205293880377,0.009883111073315907,0.04429687379597916,-0.06338259233749963,0.02275383117284737,0.07253742264893369
"I27",0.5800816707857848,-0.17718030215566866,-0.0027562662910210972,-0.03309531104872138,-0.08979613307964415,0.06008442049365948,0.039036410245163945,0.04425565324009473
"I28",0.5713887203333732,-0.11716908167087933,-0.06691145078058998,-0.048881374631825916,0.04600586159625514,0.06373408525274785,-0.03696141828947623,-0.0669634795793299
"I29",0.591874230074265,-0.16044618172972547,-0.11485632961726862,-7.605380882058541E-4,0.026117315065249325,-0.07804966310092427,-0.05348655920591144,-0.034304279151272224
"I30",0.6321433179650433,-0.16420368556438014,-0.22232446319101004,-0.010160041333566362,0.11104546344431362,-0.023187734002978022,0.0963099191126721,0.1121367515552015
"I31",0.5906577990575468,-0.22373060412636694,-0.17162379269711378,-0.05530606568560808,-0.2210296155112682,-0.06535935242359975,-0.06801513112441897,0.1298348570620352
"I32",0.6025123745803362,-0.139644224046718,-0.1609730293857009,0.1958731763407744,0.06557733608457834,0.002872499765053257,0.08970924895206628,-0.02232261681162403
"I33",0.5835334629596582,-0.09438045430469745,-0.14339871544264454,-0.3518176870292099,-0.00817370143677435,0.01889600520640161,0.12027325728034056,-0.23436647945822908
